JobId	CalculationDuration
0b699ae6-501e-4139-b82c-4568cd164040	4037
0b6bd263-4452-4bf0-8a35-89d23c53325b	3014
0b715e41-5c0f-4cca-85aa-766f775db3ed	13
0b7aa228-4269-4056-ba1f-a84e14789b95	28
0b7c8893-3e62-40e2-961a-859d1fe181e2	13
0b7fedf4-d493-4417-bd76-d5a3d1daf5ab	3015
0b89311b-42b2-4096-8640-023e8af0f065	22
0b8e9d7c-dd64-4807-b2f7-f0efd74dca82	23
0b9b8c08-a7b8-475e-b20f-43b52222c685	19
0b9ce456-3de0-4a42-8b63-e0c91f92cca3	3016
0ba28904-493b-4fcb-b7cf-7be946d5fd0f	13
0bbfc022-29bb-4e3d-9561-121144964b30	3017
0bc0734e-f3fc-4afc-8707-91b3c39c2736	3016
0bc48cb0-3593-4a5b-95be-ff29eb6e6904	262
0bc70836-e519-490a-8cf4-c6146d6bbadf	967
0bcefd57-b0de-47a5-a596-2fdf1567d11b	4008
0bdff554-e0ef-4b27-b7c5-ebbc6302bb59	3016
0be13d61-74ee-4464-858f-917630816cf9	13
0be96704-c7c4-4cc3-83e5-71c7da0b0efd	3015
0bec5db5-cf7c-4846-bbc5-2a0c0003e620	4086
0bf4c285-aa21-4e52-a17b-008821f9ab01	21
0c028b2f-874e-4ebe-8d79-464cd9baa590	15
0c0aa96f-138a-43ec-8323-dab4a7a2d4e4	4138
0c111f0a-5f86-490c-ba09-f3e0aca85516	964339
0c172d21-3bf5-480f-9d89-c9f5422b805e	3015
0c1e5c0a-0f45-4832-9d01-8cc84f04e0e5	3270
0c293d96-32f0-4ef1-8d2f-306a0d092804	7344
0c2fd1c0-d3ff-4453-a11c-de4cf62af95c	4060
0c391b1c-fe72-40ab-8c07-5875970f4052	3015
0c3c9f9b-a125-41e7-97b2-23ff0613a307	4133
0c44d2e8-b533-47d2-b2ce-b2c3c4fdfcb3	835
0c468d77-cba8-4492-9ebe-7c70677f9ded	310
0c499cd7-c94c-4469-acfe-8fde1ba92a6a	198
0c4a366a-ff3d-46b6-bdaa-9258ed82fa46	27
0c52e571-afb3-4ab6-bd6f-625062afb87a	13
0c5401eb-b816-47d0-8ebb-b1476f587829	26
0c62b980-648e-4d86-aade-6d3829dd27ae	314
0c6e8448-a163-4841-a6ea-741bdd165694	24
0c85dc50-6957-49cd-94be-2e4e5a8be269	1051
0c8e7af5-4549-4acd-ada8-ea5cad0a59f2	3016
0c8f5313-0cae-4198-9a66-9710ac71387b	13
0c920735-25e3-4d4e-9eaa-4e8a10a1f34d	3016
0c95cdd6-6133-4a8e-b30b-5edfc7a407fc	3016
0ca7bd3d-e4a3-43c2-8f7d-0b2dd3d9bd58	1120
0ca8e301-cf04-4928-b62d-20b16f2af636	180341
0cb90149-1f11-48fa-b9b2-fd7e092f5273	3029
0cb95938-46ca-4c3d-8648-c124c7afb477	45
0cbc10f7-339b-457a-9ee5-9306e1c93426	22
0cc71819-26b9-486e-8640-01109c18634b	19
0ccbd0fc-711d-49ad-80eb-1d6d03417486	355
0cd91b8b-126f-4273-ad3d-124883821d21	3014
0ce50bf7-f32a-4e9b-829b-608a6295818d	3016
0ceb9781-6607-46aa-8f81-e4f9fd75a18a	3016
0cf549c8-6b31-4b33-9900-1f01e8ac548c	3014
0cf68a64-5dc0-4fdc-84d7-433de4d97d28	3015
0cf9be69-4428-46dd-9e92-e157146f9c27	3016
0d04f206-2a93-43e9-87ec-678ef63262c9	3016
0d0e4fff-c2a9-4d8f-89a5-776888de7231	3016
