JobId,Median of DurationInMin
024b0862-6895-4da3-8725-a8a5e16c2b26,1
024b154a-43b2-4b44-a76c-81a8e2e58182,51
024f5f85-3ccf-429e-8153-b7351829cbb0,54
02501333-2f8b-4084-b048-5a0052a32c4d,1
0250c086-1e6f-4d35-b7c5-3963f9a36e60,1
0251a6f1-5256-47b9-80c0-f9813192ee40,51
0251c804-f69e-447e-bdf9-bdc3079d6ed1,106
02550233-e14d-41db-bbfd-060089b9b82f,4
0256cd7f-36e7-483b-acdd-6069a5a137b5,26
02590b30-d5c6-4197-a580-eee89ca08b2d,45
025937a8-71e7-4c9d-985a-03e2330452f0,1
0259817e-994a-4d94-98f1-e25558b77ad9,51
0259fb7a-75ce-4389-a646-a578459b22f4,3
025c7064-e1e1-4c3b-a3d3-5c554a65632b,4
025e3d4a-117a-431f-a504-8a8683a386f9,6
025f512a-f10e-4c87-8e5c-8f941c198416,27
025f91eb-4c9a-401e-be59-7ac1fe3ee76d,68
026273d4-b4d2-4bdc-9457-f5d83026e329,3
026525fd-e38b-48d6-be42-58f25a5e9bc5,1
026a069a-044a-4ad0-a593-751a6f02734c,56
026eb38f-616a-47fa-8c99-d7d457cb6ce7,3
02702fc4-9386-4230-80d8-9569077b29ec,1
027055dc-4f1d-4942-a60d-d7383dd7975f,107
02733f60-7fca-4c56-b79a-e827a49371ee,1
02756342-1e54-4514-95ab-06e01871d819,2
0277b500-76cb-45f5-bddc-fba84b6ad5ca,3
027a0e6a-6509-484d-a87e-371a27d758b2,18
027a49f8-bbb6-472c-a450-ab2b374a1922,1
027bcc2b-d441-4975-b4d4-e52b9688fc23,1
027c8130-e25c-4aaa-b653-fa03f0d52c38,1
027d3d76-266f-4544-8b7e-e8fae9b30001,222
02803725-1f8b-4a7c-b5ba-820418abff2c,39
0282aacd-140e-4f5b-8626-95f39b63b461,109
0289f0a5-1afd-4319-b01f-1e8ae270cd7c,18
028c3a51-71a8-4e87-b9c7-8963f99bf94a,17
02907c3a-53b0-4e58-bc81-fe7c1ab1dea1,51
02919c5d-27bc-43cd-a354-e4232b8cf07f,4
0291c281-3c5e-4577-8c36-818942374463,41
02998d32-0509-4793-8203-10d01aa86360,4
029e0f68-d88c-4f6e-98ba-a33e725e3cda,38
02a227ea-66ac-442d-92cd-689604be9331,51
02a23c56-fc57-44dd-8b20-70da1d8bc745,16
02a35565-42d6-45c7-b4e6-bdcf5e43c2d1,3
02a36e75-c4bd-4598-a0a7-4486ebc20256,41
02a44da9-4100-47ce-b7d5-3a31c720e08c,1
02a5b272-c84b-4734-aa50-2980e5670322,51
02ac43ee-34cb-40ff-a3e8-643eee532f26,1
02aea600-ed14-4b7f-92dc-c7e06660be30,42
02b07982-eaf3-4bc9-afc0-ac3ff628bbed,1
02b211c7-ffd9-4531-bf88-46f5cfd53df4,51
02b247a6-9d93-4c3a-a33b-5740253568ee,18
02b26bd7-8af6-411f-9f6c-f82483c177c1,3
02b2ae4e-289c-48a3-b85a-4758f3e81c43,1
02b4dc9e-7b5e-48eb-8d39-cf659a530ebf,1
02b4dcac-091a-4759-976b-3c261e733985,51
02b8a8fe-19da-4dcd-874e-27610da82b9a,5
02bb44c1-1173-424f-88ed-24f4d3ca8386,46
02bbac2c-7941-4171-bb20-8d70ab3f5bc1,4
02bc45f8-3e81-4e33-842d-f142b38d2e37,1
02bd0844-deb5-4494-89ac-3dd35543b6e1,6
02c0f500-40a7-49df-ab6d-85ddc36e856c,1
02c1c24b-ea31-43a0-a536-b393ecefcc74,99
02c1e16e-c8f4-4ea3-b91a-f6cfa1390a06,2
02c5342e-182a-4fe4-995c-fa79bc5e7f5a,220
02c54814-58dc-46da-9c33-240f9ae0b84a,2
02c631f3-6bc9-4c87-96c7-590fdaa4dd6c,1
02c7ca27-9d29-42eb-9ddb-2e21d4c76a6a,1
02c98971-4b0f-4f77-9e1d-73eec00f75f1,1
02ca89c8-5cc4-4d00-a73f-d1df892dbc9b,1
02cbe0cd-ce81-4f33-9ff7-02cd78f5e34e,1
02cf5cf5-21aa-4520-b3f9-695d0e05e8b5,1
02d101e9-1b1d-4cfb-b6b7-933320ed285a,6
02d36ce7-749e-4f7d-bf17-2c01212a943f,51
02d52e8d-b7fc-4a8a-8e17-7abaa71a0029,47
02d58de0-348e-46d8-add0-3f8d08e2fd93,55
02d66bb6-86fe-4fde-8861-a0ff08d8c6e7,12
02d759a0-4b76-4479-89fa-2b9b999eb309,62
02d788ae-d982-4431-a8f2-c12b70e32d86,44
02da4b44-bb8a-4919-8989-37c05cc14b29,93
02da5443-ea81-4471-92e9-4fcec335fb14,3
02dd66cc-0e25-4e0d-835c-3b710b66d6ef,1
02e297b2-4e14-4609-b819-ff13ba29b35c,1
02e4704c-fe57-4818-beef-116586bf0faa,58
02e6f7c6-f660-4d02-ac4a-e85d25ff47ed,6
02e85bb4-9313-4d50-9f47-11dc127c1c8f,5
02ec6a37-f363-47a9-9216-8186784b4dd1,1
02edd15e-eb4b-4145-88e1-2c083cecee16,16
02ee9be9-3b59-4369-aaba-93e81125c851,51
02efa286-cd31-4abd-9e77-b9df4812a4bf,51
02f0fd45-a3bb-420b-b24a-73d12c1bf27f,45
02f25e5d-ecd7-4f6e-b066-b7cb97650869,1
02f599a9-b79f-4536-9509-891a15155e7b,4
02f6a8bd-e362-42e6-b7b6-c34d579848d3,51
